"Date","Open*","High","Low","Close**","Volume","Market Cap"
"07-08-2018",0.130923,0.1331,0.124601,0.125378,57321700,3394445297
"06-08-2018",0.130919,0.136404,0.128161,0.130553,57534800,3394353733
"05-08-2018",0.127292,0.13203,0.125517,0.131721,43901500,3300314645
"04-08-2018",0.130771,0.134591,0.125412,0.127547,54577300,3390510389
"03-08-2018",0.131416,0.134835,0.124545,0.130255,77768900,3407237901
"02-08-2018",0.141316,0.142481,0.130469,0.131941,68531400,3663910200
"01-08-2018",0.143086,0.145038,0.13718,0.140901,79987900,3709789644
"31-07-2018",0.154067,0.154187,0.140773,0.143297,93183800,3994501592
"30-07-2018",0.163234,0.163234,0.14928,0.154087,69612600,4232179314
"29-07-2018",0.164163,0.164772,0.160419,0.163313,47319500,4256265472
"28-07-2018",0.166228,0.166228,0.160024,0.16338,51592200,4309805056
"27-07-2018",0.16445,0.168709,0.15666,0.16554,103693000,4263706880
"26-07-2018",0.172416,0.17474,0.162497,0.164765,84282200,4470241792
"25-07-2018",0.17236,0.175304,0.16682,0.172731,123649000,4468789760
"24-07-2018",0.164736,0.176757,0.161279,0.173172,191390000,4271121920
"23-07-2018",0.169526,0.179393,0.164028,0.164028,147071008,4395312640
"22-07-2018",0.163874,0.177814,0.163061,0.170277,139332992,4248772864
"21-07-2018",0.161994,0.168841,0.155729,0.163637,125996000,4200029696
"20-07-2018",0.179893,0.18265,0.161644,0.162175,215667008,4664098304
"19-07-2018",0.178986,0.189499,0.172312,0.180869,216980992,4640582656
"18-07-2018",0.170299,0.19293,0.170299,0.179378,323366016,4415353856
"17-07-2018",0.154915,0.174619,0.150379,0.170865,133441000,4016492288
"16-07-2018",0.142277,0.156755,0.140978,0.156118,90578096,3688825856
"15-07-2018",0.137029,0.145511,0.135277,0.142262,50143900,3552760832
"14-07-2018",0.138365,0.139891,0.133851,0.137092,55022100,3587399168
"13-07-2018",0.127299,0.141729,0.126027,0.137887,92778496,3300489984
"12-07-2018",0.13156,0.13156,0.123154,0.127181,37623900,3410965248
"11-07-2018",0.128801,0.133925,0.126466,0.131483,50179700,3339432704
"10-07-2018",0.139729,0.140654,0.128792,0.128792,62318800,3622763520
"09-07-2018",0.145345,0.146111,0.139948,0.139971,42768500,3768370176
"08-07-2018",0.149953,0.151385,0.144762,0.145389,48142400,3887841792
"07-07-2018",0.146257,0.150373,0.138904,0.150373,47965500,3792015616
"06-07-2018",0.148749,0.148749,0.139473,0.146084,69138800,3856625664
"05-07-2018",0.151597,0.154572,0.145104,0.148921,73881296,3930466048
"04-07-2018",0.1502,0.159904,0.146883,0.15096,86594896,3894245888
"03-07-2018",0.158522,0.166687,0.149461,0.150655,108280000,4110010880
"02-07-2018",0.142591,0.161936,0.138639,0.158278,161860000,3696966912
"01-07-2018",0.138264,0.145731,0.133866,0.142208,108733000,3584780544
"30-06-2018",0.126036,0.138372,0.126036,0.137671,104599000,3267744256
"29-06-2018",0.119397,0.127436,0.114674,0.12572,65802200,3095614464
"28-06-2018",0.127393,0.128503,0.118498,0.11932,42250100,3302931456
"27-06-2018",0.126551,0.128,0.123925,0.127444,37072400,3281097984
"26-06-2018",0.135623,0.136055,0.126099,0.126099,32927500,3516295424
"25-06-2018",0.132321,0.138254,0.128556,0.135269,57752100,3430704896
"24-06-2018",0.138355,0.138592,0.121962,0.132703,73037504,3587151872
"23-06-2018",0.140334,0.143279,0.134852,0.137868,38721800,3638458624
"22-06-2018",0.15846,0.159019,0.137429,0.139839,79062000,4108396800
"21-06-2018",0.162051,0.163757,0.157551,0.158556,41237700,4201519360
"20-06-2018",0.166781,0.167331,0.156797,0.161985,83625600,4324135424
"19-06-2018",0.164702,0.169903,0.162117,0.167185,69854400,4270246400
"18-06-2018",0.161122,0.167511,0.156708,0.164117,55507800,4177409280
"17-06-2018",0.163137,0.164477,0.161027,0.16138,35748800,4229668352
"16-06-2018",0.162741,0.164628,0.159856,0.162962,42213400,4219388160
"15-06-2018",0.172218,0.172218,0.161929,0.162747,73950496,4465104896
"14-06-2018",0.16025,0.176521,0.155369,0.172375,199562000,4154810112
"13-06-2018",0.166136,0.166818,0.151204,0.160408,99731600,4307430400
"12-06-2018",0.181348,0.182888,0.162788,0.166585,82885904,4701814784
"11-06-2018",0.176262,0.181937,0.167893,0.18128,89350704,4569963008
"10-06-2018",0.201517,0.201517,0.171129,0.176868,137836000,5224744960
"09-06-2018",0.20526,0.209668,0.202091,0.202091,51481400,5321785856
"08-06-2018",0.210831,0.210841,0.202634,0.205358,68728600,5466225664
"07-06-2018",0.216105,0.219351,0.209573,0.211119,76949400,5602967552
"06-06-2018",0.220565,0.220862,0.210708,0.215721,84766304,5718607360
"05-06-2018",0.214247,0.221728,0.204815,0.220467,119846000,5554793984
"04-06-2018",0.228155,0.231228,0.21229,0.214012,115605000,5915396096
"03-06-2018",0.2277,0.236761,0.225118,0.228154,117208000,5903601664
"02-06-2018",0.222701,0.229531,0.219242,0.227742,116435000,5773977600
"01-06-2018",0.224533,0.229184,0.216955,0.222507,130538000,5821493760
"31-05-2018",0.210393,0.230057,0.206205,0.225214,202076000,5454876160
"30-05-2018",0.203685,0.218023,0.201184,0.211143,222612000,5280966144
"29-05-2018",0.175475,0.208739,0.174153,0.20319,185184000,4549557248
"28-05-2018",0.193696,0.194977,0.174002,0.174783,95106200,5021957120
"27-05-2018",0.196354,0.196436,0.192322,0.193557,58991000,5090876416
"26-05-2018",0.199761,0.205492,0.195895,0.196567,60616400,5179206656
"25-05-2018",0.20906,0.210636,0.19732,0.200655,83368000,5420310528
"24-05-2018",0.203324,0.213302,0.193109,0.208989,127678000,5271602176
"23-05-2018",0.224393,0.22615,0.198798,0.202873,124268000,5817849344
"22-05-2018",0.249397,0.250076,0.223408,0.224408,78363296,6466140672
"21-05-2018",0.25613,0.261169,0.247134,0.24884,85090304,6640712192
"20-05-2018",0.243143,0.260785,0.240974,0.256136,101310000,6303989248
"19-05-2018",0.246199,0.248354,0.238934,0.243271,57778000,6383221760
"18-05-2018",0.242816,0.246809,0.234781,0.245544,79212200,6295507456
"17-05-2018",0.257352,0.263111,0.242194,0.243664,83683800,6672384000
"16-05-2018",0.259082,0.260186,0.24372,0.256375,108749000,6717234688
"15-05-2018",0.274269,0.27876,0.257697,0.260155,97408800,7110991872
"14-05-2018",0.285852,0.286088,0.261086,0.273434,161643008,7411295232
"13-05-2018",0.27164,0.290151,0.264361,0.28589,179522000,7042824192
"12-05-2018",0.262649,0.28341,0.241278,0.270932,255480992,6809725440
"11-05-2018",0.296797,0.299462,0.248137,0.260127,348752000,7695078400
"10-05-2018",0.323879,0.327908,0.296317,0.297089,122958000,8397224448
"09-05-2018",0.328426,0.328426,0.304458,0.323593,178122000,8515124736
"08-05-2018",0.335595,0.348219,0.323071,0.328352,142455008,8700994560
"07-05-2018",0.349948,0.349948,0.323506,0.335176,171384992,9073136640
"06-05-2018",0.365933,0.365933,0.341467,0.350021,148186000,9487571968
"05-05-2018",0.361318,0.373605,0.360962,0.366338,139447008,9367928832
"04-05-2018",0.370777,0.370777,0.350842,0.360182,171266000,9613160448
"03-05-2018",0.371926,0.389749,0.368789,0.369709,300814016,9642938368
"02-05-2018",0.357602,0.376704,0.349324,0.37242,272855008,9271577600
"01-05-2018",0.342953,0.363261,0.323701,0.358693,365521984,8891774976
"30-04-2018",0.364297,0.364297,0.336625,0.343318,298712000,9445160960
"29-04-2018",0.36067,0.387901,0.347508,0.365057,671886976,9351123968
"28-04-2018",0.28713,0.364954,0.28713,0.357874,636742016,7444431872
"27-04-2018",0.294589,0.307469,0.287786,0.288489,197183008,7637829120
"26-04-2018",0.270795,0.294972,0.259865,0.294295,220715008,7020930560
"25-04-2018",0.312805,0.312805,0.265164,0.271654,351596000,8110116352
"24-04-2018",0.288539,0.318699,0.287331,0.312875,369016992,7480967168
"23-04-2018",0.285558,0.289623,0.283558,0.288473,127213000,7403678208
"22-04-2018",0.287488,0.296879,0.280765,0.285535,160968000,7453720576
"21-04-2018",0.302292,0.307552,0.272684,0.29058,294632992,7837558784
"20-04-2018",0.270986,0.301641,0.269697,0.301247,349348992,7025862144
"19-04-2018",0.267493,0.273836,0.260818,0.272358,240910000,6935310336
"18-04-2018",0.242734,0.262368,0.242734,0.260341,181118000,6293392896
"17-04-2018",0.25509,0.272641,0.242771,0.243724,520975008,6613732352
"16-04-2018",0.221889,0.256646,0.211808,0.256646,678780992,5752934912
"15-04-2018",0.201389,0.223444,0.19994,0.22139,169798000,5221429248
"14-04-2018",0.198675,0.206495,0.194708,0.200853,113212000,5151050240
"13-04-2018",0.211632,0.218382,0.196567,0.200532,230412992,5486998528
"12-04-2018",0.166757,0.214525,0.16453,0.212233,488007008,4323519488
"11-04-2018",0.156761,0.166431,0.154079,0.166029,91793296,4064348672
"10-04-2018",0.15324,0.15782,0.149316,0.156347,55981300,3973065984
"09-04-2018",0.157094,0.165656,0.147478,0.153106,93021904,4072979968
"08-04-2018",0.148825,0.158452,0.148825,0.156599,51093100,3858606080
"07-04-2018",0.144885,0.151469,0.143829,0.148794,48205400,3756444416
"06-04-2018",0.148394,0.150481,0.14183,0.144451,51827500,3847429632
"05-04-2018",0.155592,0.156204,0.143742,0.148758,113407000,4034050048
