"Date","Open*","High","Low","Close**","Volume","Market Cap"
"07-08-2018",692.63,712.34,653.78,659.38,378007000,11967912061
"06-08-2018",711.01,718.65,684.44,692.63,316406000,12284172513
"05-08-2018",696.07,715.52,687.86,709.22,313362000,12024688233
"04-08-2018",723.27,735.04,691.58,695.74,327670000,12493293765
"03-08-2018",732.8,732.8,704.59,724.71,361851000,12656535287
"02-08-2018",767.67,773.73,726.92,734.76,387197000,13257608480
"01-08-2018",779.95,779.95,740.32,769.35,499193000,13468236361
"31-07-2018",816.73,816.73,766.34,777.15,420759000,14101953800
"30-07-2018",828.55,829.87,790.12,816.08,568282000,14304408204
"29-07-2018",821.01,835.62,813.79,828.98,565436032,14172835840
"28-07-2018",821.49,826.43,803.73,818.83,525351008,14179516416
"27-07-2018",804.35,829.42,785.59,819.39,589747968,13882286080
"26-07-2018",830.74,855.97,795.74,806.18,597276992,14336219136
"25-07-2018",863.2,870.66,822.51,831.46,692334016,14894816256
"24-07-2018",785.6,871.47,778.65,869.47,905811968,13554297856
"23-07-2018",789.69,828.39,783.52,784.39,608630016,13623557120
"22-07-2018",788.47,820.1,781.3,788.67,529767008,13601174528
"21-07-2018",767.88,797.06,750.72,789.49,513512992,13244620800
"20-07-2018",823.4,823.4,765.18,767.66,612099008,14200651776
"19-07-2018",828.43,840.43,808.73,824.89,684182976,14286016512
"18-07-2018",849.77,880.98,814.59,829.94,720550976,14652491776
"17-07-2018",803.12,863.29,784.92,850.78,752280000,13846744064
"16-07-2018",724.48,806.93,718.95,805.68,534068000,12489612288
"15-07-2018",702.99,731.57,698.76,722.97,322284000,12118095872
"14-07-2018",696.42,707.05,690.69,704.06,272856000,12003391488
"13-07-2018",686.65,708.75,686.65,696.59,352371008,11833760768
"12-07-2018",706.98,706.98,669.52,682.76,336003008,12182778880
"11-07-2018",688.87,713.76,688.87,707.48,321031008,11869532160
"10-07-2018",732.86,739.2,688.63,688.63,374505984,12626165760
"09-07-2018",751.57,757.37,731.35,733.38,338876000,12947269632
"08-07-2018",775.78,784.44,745.82,751.35,328903008,13362799616
"07-07-2018",736.76,775.82,715.29,775.3,772953024,12689384448
"06-07-2018",748.48,748.67,705.11,737.33,375967008,12890004480
"05-07-2018",763.29,779.14,725.12,748.22,469756992,13143701504
"04-07-2018",757.93,808.23,742.93,762.4,420710016,13049904128
"03-07-2018",775.07,819.37,754.82,757.95,478640000,13343602688
"02-07-2018",739.25,798.31,724.32,776.17,413921984,12725666816
"01-07-2018",749.18,752.91,719.76,739.42,558793984,12895140864
"30-06-2018",717.04,762.92,717.04,748.71,576081024,12340696064
"29-06-2018",663.0,729.55,652.81,715.71,407536000,11409434624
