"Date","Open*","High","Low","Close**","Volume","Market Cap"
"07-08-2018",13.66,13.91,13.13,13.15,45119500,1304555493
"06-08-2018",13.69,13.98,13.5,13.7,46799600,1307338226
"05-08-2018",13.86,13.9,13.29,13.62,43000300,1323679385
"04-08-2018",14.11,14.46,13.57,13.84,60865200,1347937352
"03-08-2018",14.09,14.21,13.64,14.13,70449300,1345579816
"02-08-2018",13.63,14.18,13.41,14.18,50481200,1301912488
"01-08-2018",13.77,14.06,13.23,13.57,53833700,1315172782
"31-07-2018",13.21,14.06,13.04,13.78,66537000,1261822999
"30-07-2018",13.95,13.95,13.07,13.22,35991600,1332179975
"29-07-2018",14.6,14.7,13.66,14.02,56547100,1394301312
"28-07-2018",14.03,14.87,13.72,14.6,75159904,1339620480
"27-07-2018",13.39,14.03,13.06,13.92,66040700,1279151488
"26-07-2018",12.92,13.55,12.91,13.4,61881400,1234165120
"25-07-2018",12.09,13.47,12.08,12.94,72083200,1154459904
"24-07-2018",12.02,12.25,11.65,12.15,46762700,1148270592
"23-07-2018",12.14,12.34,11.91,12.02,28137700,1159216384
"22-07-2018",12.19,12.27,11.96,12.12,20692400,1164183040
"21-07-2018",12.07,12.46,11.9,12.19,28726700,1153285120
"20-07-2018",12.92,12.97,11.89,12.07,40466000,1233878528
"19-07-2018",12.83,13.35,12.77,12.92,49364800,1224957696
"18-07-2018",13.74,13.86,12.72,12.86,75446304,1566915840
"17-07-2018",13.36,13.89,12.87,13.71,74443200,1523352064
"16-07-2018",12.31,13.39,12.2,13.24,47198600,1403836928
"15-07-2018",12.09,12.4,12.02,12.29,26346900,1378565248
"14-07-2018",12.19,12.27,11.97,12.1,21534200,1390505472
"13-07-2018",12.09,12.43,12.04,12.18,29709900,1379158400
"12-07-2018",12.69,12.77,11.9,12.07,26008100,1447400704
"11-07-2018",12.82,12.89,12.25,12.7,38867700,1462568064
"10-07-2018",13.61,13.66,12.67,12.76,36507100,1552603776
"09-07-2018",14.04,14.09,13.63,13.66,36874000,1600957184
"08-07-2018",14.4,14.42,13.93,13.99,60275400,1641955072
"07-07-2018",13.54,14.4,13.43,14.4,79974896,1544221696
"06-07-2018",13.98,13.99,13.28,13.53,33466000,1593852416
"05-07-2018",14.04,14.14,13.65,13.85,41185300,1601094144
"04-07-2018",14.23,14.33,13.91,14.01,37043700,1622374272
"03-07-2018",14.56,14.78,14.08,14.17,60657300,1660828928
"02-07-2018",14.4,14.82,14.06,14.57,55614000,1641932288
"01-07-2018",14.68,14.69,14.14,14.4,38434400,1673692800
"30-06-2018",14.55,15.18,14.29,14.66,59676900,1659198080
"29-06-2018",14.17,14.65,13.78,14.51,52784600,1616455424
"28-06-2018",14.03,14.75,13.86,14.12,67290496,1600102016
"27-06-2018",14.07,14.31,13.89,14.05,44136600,1604239488
"26-06-2018",14.93,14.99,13.87,14.12,37503400,1702966016
"25-06-2018",14.46,15.07,13.83,14.92,60358000,1648700032
"24-06-2018",15.57,15.59,13.54,14.45,96256304,1775725440
"23-06-2018",15.6,16.06,15.36,15.55,70431104,1779232384
"22-06-2018",17.07,17.24,15.26,15.59,113751000,1946846208
"21-06-2018",16.07,17.27,15.92,17.05,122980000,1832899968
"20-06-2018",16.76,16.86,15.74,16.06,65190300,1911424256
"19-06-2018",16.78,16.94,16.21,16.7,80738096,1913625600
"18-06-2018",16.62,17.19,16.22,16.88,106776000,1895562496
"17-06-2018",15.78,17.23,15.76,16.58,107346000,1799459328
