"Date","Open*","High","Low","Close**","Volume","Market Cap"
"07-08-2018",7.06,7.18,6.59,6.61,572786000,6395908647
"06-08-2018",7.06,7.17,6.97,7.07,477949000,6394876718
"05-08-2018",7.0,7.08,6.95,7.06,481289000,6339489579
"04-08-2018",7.2,7.3,6.92,6.99,465467000,6524121153
"03-08-2018",7.05,7.26,6.92,7.2,521404000,6386548250
"02-08-2018",7.24,7.33,6.96,7.06,559363000,6558379662
"01-08-2018",7.36,7.39,6.98,7.26,699077000,6672807179
"31-07-2018",7.77,7.77,7.18,7.37,708842000,6961992305
"30-07-2018",8.34,8.34,7.5,7.77,849398000,7472990390
"29-07-2018",8.34,8.42,8.17,8.34,615336000,7473627136
"28-07-2018",8.43,8.43,8.15,8.32,527104000,7550309888
"27-07-2018",8.31,8.51,8.03,8.41,694945984,7448687104
"26-07-2018",8.52,8.79,8.25,8.32,644028992,7635130880
"25-07-2018",8.56,8.84,8.38,8.51,835307008,7667562496
"24-07-2018",7.97,8.62,7.79,8.6,1007480000,7138045952
"23-07-2018",7.88,8.39,7.88,7.97,630787008,7061182976
"22-07-2018",8.02,8.24,7.82,7.9,497159008,7189610496
"21-07-2018",7.9,8.24,7.7,8.05,551660032,7078066688
"20-07-2018",8.4,8.43,7.8,7.9,810102976,7529680896
"19-07-2018",8.58,8.7,8.19,8.39,852908992,7686309888
"18-07-2018",8.77,9.21,8.46,8.61,929459008,7862690304
"17-07-2018",8.07,8.91,7.87,8.78,847793984,7233440768
"16-07-2018",7.4,8.11,7.27,8.11,716972032,6630412800
"15-07-2018",6.98,7.52,6.92,7.4,501440000,6258305024
"14-07-2018",6.96,7.09,6.85,6.99,396983008,6238633984
"13-07-2018",6.91,7.22,6.79,6.96,586718016,6196129792
"12-07-2018",7.17,7.18,6.65,6.9,597379968,6427139072
"11-07-2018",7.21,7.41,6.85,7.19,599606976,6461273600
"10-07-2018",7.75,7.85,7.18,7.21,707110016,6941618688
"09-07-2018",8.71,8.74,7.7,7.75,707878016,7804520960
"08-07-2018",9.04,9.14,8.7,8.71,491667008,8099587072
"07-07-2018",8.67,9.02,8.47,9.02,490260992,7771829760
"06-07-2018",8.9,8.92,8.3,8.68,604649984,7979010048
"05-07-2018",8.88,9.15,8.73,8.93,958548992,7960997888
"04-07-2018",8.85,9.39,8.56,8.89,935387008,7934507520
"03-07-2018",8.91,9.35,8.77,8.84,1006099968,7983562752
"02-07-2018",8.14,8.99,7.94,8.89,1024129984,7295588864
"01-07-2018",8.15,8.22,7.81,8.13,621643008,7300490752
"30-06-2018",7.74,8.25,7.74,8.13,832537984,6936716800
"29-06-2018",7.47,7.85,7.18,7.73,802745984,6694684672
"28-06-2018",8.01,8.05,7.39,7.45,724915008,7179860992
"27-06-2018",7.48,8.18,7.41,8.01,716035968,6706324992
"26-06-2018",8.26,8.3,7.49,7.51,629339008,7405456896
"25-06-2018",8.07,8.51,7.77,8.24,905011968,7233308160
"24-06-2018",8.46,8.46,7.1,8.09,1397600000,7583004160
"23-06-2018",8.67,8.79,8.19,8.41,709977024,7769804288
"22-06-2018",10.42,10.44,8.48,8.66,1258310016,9334825984
"21-06-2018",10.43,10.8,10.28,10.42,662139008,9345892352
"20-06-2018",10.73,10.77,10.18,10.42,852286976,9616001024
"19-06-2018",10.72,10.84,10.5,10.73,715926016,9605827584
"18-06-2018",10.44,10.83,10.23,10.72,720630016,9358605312
"17-06-2018",10.63,10.76,10.43,10.44,432120992,9521623040
"16-06-2018",10.65,10.81,10.35,10.63,680969984,9542286336
"15-06-2018",11.29,11.29,10.57,10.66,936732992,10118561792
"14-06-2018",10.17,11.57,9.73,11.3,1409440000,9114451968
"13-06-2018",10.26,10.34,9.44,10.15,1266409984,9193736192
"12-06-2018",11.55,11.55,9.96,10.22,1052700032,10347104256
"11-06-2018",11.31,11.64,10.65,11.59,1570569984,10139694080
"10-06-2018",14.04,14.04,10.56,11.39,2317139968,12585908224
"09-06-2018",14.04,14.82,14.04,14.1,1175320064,12579904512
"08-06-2018",14.57,14.72,13.71,14.04,1105590016,13054181376
"07-06-2018",13.99,14.59,13.74,14.59,1017480000,12541327360
"06-06-2018",14.25,14.26,13.48,13.94,1022289984,12773762048
"05-06-2018",13.58,14.23,12.97,14.2,1445139968,12171719680
"04-06-2018",14.6,14.82,13.39,13.55,1297159936,13084895232
