"Date","Open*","High","Low","Close**","Volume","Market Cap"
"07-08-2018",18.75,20.58,17.15,17.33,721105000,1942567523
"06-08-2018",17.58,18.76,17.15,18.66,347516000,1821069037
"05-08-2018",16.47,17.74,16.29,17.69,218174000,1704772838
"04-08-2018",16.54,16.91,15.9,16.42,236249000,1712335967
"03-08-2018",15.02,16.92,14.22,16.6,266154000,1554330558
"02-08-2018",15.49,15.6,14.7,14.99,158264000,1603095795
"01-08-2018",16.22,16.28,15.09,15.47,167916000,1677472213
"31-07-2018",17.11,17.12,15.92,16.24,184935000,1769826976
"30-07-2018",16.93,17.23,16.67,17.12,237202000,1750302942
"29-07-2018",16.96,17.03,16.68,16.91,154180000,1752898176
"28-07-2018",17.0,17.03,16.68,16.95,139036000,1757238144
"27-07-2018",16.68,17.13,16.34,16.95,169216992,1723873024
"26-07-2018",16.49,17.36,16.41,16.72,198975008,1703728896
"25-07-2018",16.56,16.8,16.13,16.5,165899008,1709737856
"24-07-2018",16.09,16.88,15.75,16.63,209846000,1661354240
"23-07-2018",16.13,16.81,15.93,16.16,170788992,1665405184
"22-07-2018",16.36,16.62,16.08,16.12,139591008,1688162304
"21-07-2018",16.15,16.57,15.87,16.35,148059008,1666770176
"20-07-2018",17.41,17.56,15.86,16.21,233146000,1795539328
"19-07-2018",17.35,17.82,17.13,17.39,222698000,1789328896
"18-07-2018",17.92,18.28,17.22,17.39,248274000,1847300352
"17-07-2018",17.42,18.12,16.97,17.95,266384992,1795702144
"16-07-2018",16.66,17.47,16.55,17.38,223788000,1717402240
"15-07-2018",16.46,16.88,16.28,16.6,164426000,1696243072
"14-07-2018",16.33,16.62,16.15,16.43,156358000,1681682432
"13-07-2018",16.37,16.76,16.12,16.29,241580000,1685711616
"12-07-2018",16.46,16.46,15.8,16.33,212922000,1694658176
"11-07-2018",16.15,16.73,15.84,16.46,249134000,1662015360
"10-07-2018",18.21,18.29,16.08,16.13,394620992,1874416640
"09-07-2018",18.34,18.7,18.21,18.3,298020000,1886975360
"08-07-2018",18.96,19.12,18.25,18.29,249696992,1950702592
"07-07-2018",18.4,19.06,17.6,19.04,304575008,1891686400
"06-07-2018",17.44,18.47,16.97,18.47,448598016,1793174784
"05-07-2018",16.83,17.4,16.75,17.34,270719008,1729992192
"04-07-2018",16.18,17.45,15.8,16.77,275641984,1662182912
"03-07-2018",16.59,16.99,16.11,16.18,269278016,1703969024
"02-07-2018",15.99,16.96,15.62,16.64,290288000,1642821632
"01-07-2018",16.12,16.25,15.54,15.97,244395008,1655186304
"30-06-2018",15.32,16.55,15.32,16.1,253512000,1572497920
"29-06-2018",14.59,15.47,14.25,15.27,226952000,1497922432
"28-06-2018",15.4,15.56,14.44,14.54,189564992,1580107776
"27-06-2018",14.84,15.51,14.31,15.38,232582000,1522386176
"26-06-2018",15.8,15.92,14.87,14.88,211464992,1620757376
"25-06-2018",14.88,15.97,14.69,15.84,232960000,1525783168
"24-06-2018",14.82,15.11,13.36,14.88,270734016,1518819072
"23-06-2018",14.66,15.15,14.29,14.81,214750000,1502174592
"22-06-2018",17.55,17.6,14.41,14.62,455676992,1798531584
"21-06-2018",17.17,17.82,16.64,17.58,399804000,1758460416
"20-06-2018",15.59,17.27,14.87,17.27,356187008,1596476288
"19-06-2018",15.11,15.78,15.05,15.56,263659008,1547387904
"18-06-2018",14.3,15.43,14.07,15.09,235592992,1464099072
"17-06-2018",14.47,14.66,14.22,14.33,164312000,1480912384
"16-06-2018",13.88,14.77,13.86,14.51,232232000,1420096128
"15-06-2018",14.08,14.08,13.66,13.9,194460992,1440658432
"14-06-2018",13.92,14.24,13.29,14.06,280585984,1423396608
"13-06-2018",14.87,14.97,13.2,13.88,325870016,1520912512
"12-06-2018",12.93,16.22,12.84,14.85,686019008,1321346560
"11-06-2018",12.63,13.06,12.34,12.92,128249000,1290440064
"10-06-2018",15.14,15.14,12.26,12.64,173647008,1547257728
"09-06-2018",15.43,15.63,15.13,15.16,106269000,1576337920
"08-06-2018",15.25,15.63,15.15,15.41,131086000,1557696000
"07-06-2018",15.28,15.56,15.13,15.25,109763000,1560161920
"06-06-2018",15.55,15.65,14.95,15.25,110481000,1587704320
"05-06-2018",15.23,15.59,14.87,15.53,124282000,1554271616
"04-06-2018",16.25,16.35,15.14,15.23,140176992,1658039424
"03-06-2018",15.81,16.4,15.81,16.25,144260992,1612448512
"02-06-2018",15.5,16.07,15.37,15.82,143692000,1580783872
"01-06-2018",15.34,15.53,15.14,15.52,137170000,1563808896
"31-05-2018",15.23,15.58,15.04,15.31,122136000,1552135936
"30-05-2018",15.31,15.5,14.8,15.2,129317000,1559912064
"29-05-2018",14.51,15.49,14.33,15.22,157135008,1478372352
"28-05-2018",15.2,15.53,14.31,14.4,147459008,1548148480
"27-05-2018",15.27,15.35,14.99,15.21,132207000,1555230592
"26-05-2018",15.2,15.8,15.03,15.25,141440992,1548208896
"25-05-2018",15.73,15.73,14.88,15.19,141072000,1601755520
"24-05-2018",14.91,15.73,14.59,15.71,184862000,1518063232
"23-05-2018",16.5,16.63,14.65,14.95,172594000,1679525888
"22-05-2018",17.68,17.7,16.46,16.47,133700000,1799191168
"21-05-2018",18.19,18.23,17.55,17.68,125063000,1851046912
"20-05-2018",17.7,18.34,17.52,18.16,144931008,1801204992
"19-05-2018",18.0,18.11,17.57,17.7,148970000,1831250944
"18-05-2018",16.93,18.12,16.66,18.0,178787008,1722347008
"17-05-2018",17.76,18.33,16.83,17.04,166820000,1806670336
"16-05-2018",18.2,18.28,17.01,17.76,204932000,1850437120
"15-05-2018",18.76,19.93,18.21,18.26,239530000,1907541760
"14-05-2018",18.8,19.1,17.56,18.79,221006000,1911094144
"13-05-2018",18.12,19.1,17.83,18.73,201048000,1841881728
"12-05-2018",17.79,18.49,16.53,18.15,258036992,1807752704
"11-05-2018",19.78,19.84,17.18,17.73,354950016,2009786880
"10-05-2018",21.51,21.76,19.73,19.74,225995008,2186096128
"09-05-2018",22.43,22.43,20.47,21.5,293584000,2278439168
"08-05-2018",23.65,23.75,22.17,22.47,257408992,2402287360
"07-05-2018",25.45,25.45,22.74,23.64,411630016,2585242880
"06-05-2018",22.74,25.8,22.72,25.34,666931968,2309102080
"05-05-2018",22.37,23.19,22.33,22.76,263167008,2271181568
"04-05-2018",22.72,22.72,21.76,22.4,299227008,2306217472
"03-05-2018",21.64,23.43,21.48,22.76,370436992,2196844800
"02-05-2018",21.56,21.75,21.09,21.67,193015008,2187621376
"01-05-2018",21.86,21.86,20.7,21.58,210024992,2217661440
"30-04-2018",21.84,22.95,21.42,21.68,351048992,2215846656
"29-04-2018",21.72,22.26,20.48,21.83,271380000,2202630400
"28-04-2018",20.57,22.28,20.57,21.73,246408992,2086045568
"27-04-2018",21.01,21.93,20.24,20.56,273598016,2129762816
"26-04-2018",18.6,21.54,18.21,21.06,280513984,1885290240
"25-04-2018",22.11,22.13,18.27,18.58,358536000,2240516864
"24-04-2018",20.48,22.82,20.46,22.25,320566016,2075611776
"23-04-2018",18.77,20.75,18.74,20.48,278155008,1901749504
"22-04-2018",18.66,19.4,18.3,18.79,157018000,1890451328
"21-04-2018",19.7,19.98,17.73,18.69,216888000,1994971904
"20-04-2018",18.42,19.76,17.96,19.64,256292000,1865063040
"19-04-2018",17.63,18.38,17.5,18.38,172275008,1784397184
"18-04-2018",16.08,17.77,16.08,17.62,200759008,1627474816
"17-04-2018",16.16,16.74,16.07,16.07,133100000,1635147392
"16-04-2018",16.73,16.85,15.66,16.12,122772000,1692758656
"15-04-2018",16.08,16.83,16.03,16.75,121745000,1626259712
"14-04-2018",15.57,16.31,15.5,16.02,130820000,1574705920
"13-04-2018",16.06,16.61,15.52,15.61,190710000,1624103424
"12-04-2018",14.56,16.25,13.8,16.17,211979008,1472450816
"11-04-2018",13.69,14.6,13.61,14.59,104725000,1383590784
"10-04-2018",13.65,13.78,13.35,13.65,73476000,1380036352
"09-04-2018",14.14,14.51,13.35,13.63,94279200,1429248640
"08-04-2018",13.47,14.48,13.45,14.12,95690304,1360978432
"07-04-2018",13.15,13.8,13.14,13.47,79211104,1328394368
"06-04-2018",13.69,13.85,13.04,13.15,84228496,1382247424
"05-04-2018",13.65,13.81,13.24,13.72,97405600,1377948032
"04-04-2018",15.12,15.12,13.53,13.64,106000000,1526033152
"03-04-2018",14.16,15.27,14.02,15.16,140058000,1428838656
"02-04-2018",13.62,14.33,13.52,14.13,123715000,1374141952
"01-04-2018",14.41,14.52,13.14,13.58,122407000,1453368704
"31-03-2018",14.4,14.94,14.29,14.37,123343000,1452685312
"30-03-2018",14.64,15.08,13.89,14.39,171606000,1476717440
"29-03-2018",16.11,16.17,14.56,14.68,172103008,1624143872
"28-03-2018",15.87,16.84,15.84,16.1,144663008,1599706624
"27-03-2018",16.48,17.06,15.36,15.91,184083008,1660908288
"26-03-2018",18.09,18.13,15.52,16.48,189408000,1823045888
"25-03-2018",18.37,18.56,18.0,18.09,110957000,1850484608
"24-03-2018",19.13,19.39,18.45,18.5,137104992,1926725120
"23-03-2018",19.69,19.69,18.15,19.04,196326000,1982262016
"22-03-2018",19.79,20.73,18.55,19.67,242384000,1992004608
"21-03-2018",20.29,21.52,19.29,19.8,295532000,2041928832
"20-03-2018",19.61,21.07,18.01,20.21,432819008,1973451392
"19-03-2018",16.91,19.65,16.33,19.65,315268000,1701119616
"18-03-2018",16.25,16.91,14.48,16.79,233156992,1634113664
"17-03-2018",17.76,17.97,16.09,16.32,154703008,1785597440
"16-03-2018",18.5,18.51,17.33,17.78,201540992,1859703040
"15-03-2018",17.19,19.31,15.94,18.41,368177984,1727883520
"14-03-2018",19.95,20.22,16.25,17.15,201571008,2004495616
"13-03-2018",20.46,20.84,19.74,19.92,178296000,2055297536
"12-03-2018",21.57,21.79,20.14,20.5,222694000,2166291968
"11-03-2018",20.88,21.85,19.97,21.58,278368000,2096348672
"10-03-2018",22.51,22.93,20.78,20.91,262771008,2260358912
"09-03-2018",22.71,23.26,20.51,22.48,499608992,2279346944
"08-03-2018",22.19,25.17,21.18,22.67,619476992,2226355712
"07-03-2018",25.06,25.48,21.05,22.12,417288992,2514490112
"06-03-2018",26.83,27.29,24.91,25.1,387811008,2690756352
"05-03-2018",29.65,30.25,26.51,26.84,637222016,2973105920
"04-03-2018",29.16,31.35,28.78,29.69,647561984,2923266304
"03-03-2018",30.79,32.0,28.62,29.19,699657024,3086733824
"02-03-2018",33.75,34.02,30.43,30.77,556803968,3382537984
"01-03-2018",33.64,34.8,32.11,33.76,514648000,3370091264
"28-02-2018",36.0,36.42,33.41,33.69,501651008,3606200576
"27-02-2018",36.24,37.47,35.51,36.25,513289984,3628858368
"26-02-2018",36.85,37.11,34.67,36.08,622099008,3689633280
"25-02-2018",38.57,38.77,34.88,36.41,685424000,3861098240
"24-02-2018",37.83,40.71,36.92,38.84,1324419968,3785313280
"23-02-2018",32.5,38.11,31.32,38.04,1132690048,3251616512
"22-02-2018",36.46,37.63,31.93,32.81,711134016,3646735872
"21-02-2018",38.07,40.26,34.98,36.63,904092032,3807357696
"20-02-2018",39.41,43.96,38.23,38.47,1175890048,3940007680
"19-02-2018",34.69,40.26,33.93,39.29,992256000,3467860992
"18-02-2018",35.01,35.08,31.52,34.88,456828992,3498389504
"17-02-2018",34.97,35.4,34.38,34.99,418534016,3493654272
"16-02-2018",34.43,35.34,32.9,35.03,456753984,3439180544
"15-02-2018",34.83,35.65,32.83,34.53,635228032,3477965568
"14-02-2018",34.32,36.44,33.4,35.04,1055340032,3426859520
"13-02-2018",29.88,34.73,28.32,33.96,1135949952,2982734592
"12-02-2018",24.31,30.33,24.31,29.88,541766016,2425802496
"11-02-2018",24.53,26.0,21.42,24.13,378188992,2447404800
"10-02-2018",25.95,26.65,23.08,24.52,256180992,2588640768
"09-02-2018",21.89,26.21,21.0,26.0,393048992,2182525440
"08-02-2018",18.15,21.96,18.15,21.79,265155008,1809295872
"07-02-2018",19.18,20.45,17.45,18.16,212987008,1912010496
"06-02-2018",16.75,19.42,14.06,19.39,318212000,1669529472
"05-02-2018",20.76,21.19,15.9,16.53,171500000,2068333056
"04-02-2018",24.19,24.73,19.91,21.04,218348000,2409207296
"03-02-2018",23.15,24.74,20.76,24.2,179080992,2305465600
"02-02-2018",24.95,24.95,18.37,23.07,340095008,2484192512
"01-02-2018",28.77,28.88,23.74,24.97,251254000,2863779840
"31-01-2018",27.21,28.76,25.96,28.76,271852000,2707435520
"30-01-2018",31.77,31.77,26.98,27.13,235160000,3160487168
"29-01-2018",33.21,33.66,30.97,31.71,197076000,3303236608
"28-01-2018",29.62,34.4,29.62,32.9,350799008,2945276160
"27-01-2018",28.76,30.13,28.15,29.49,127839000,2858606336
"26-01-2018",29.1,29.69,26.82,28.8,198044992,2892376832
"25-01-2018",29.89,30.39,28.79,29.19,162748992,2969786880
"24-01-2018",28.47,30.54,28.08,29.6,187788992,2828346112
"23-01-2018",29.28,30.17,26.55,28.37,230031008,2907490816
"22-01-2018",30.59,32.84,26.92,29.26,321230016,3037400320
"21-01-2018",35.49,36.21,29.28,30.32,381507008,3523314176
"20-01-2018",32.09,35.56,32.09,35.01,418291008,3184766720
"19-01-2018",30.03,34.34,29.07,31.7,394036992,2979261184
"18-01-2018",29.24,32.89,28.02,30.19,455046016,2900826368
"17-01-2018",28.38,30.36,22.49,29.12,598707008,2814880256
"16-01-2018",40.49,40.49,23.26,28.46,699985024,4014070016
"15-01-2018",42.68,43.7,40.43,40.5,615006976,4230512128
"14-01-2018",42.89,46.5,40.85,42.96,1314400000,4250656256
"13-01-2018",36.18,43.16,35.78,42.39,876580992,3584652544
"12-01-2018",33.06,37.03,31.91,36.4,536064000,3274746624
"11-01-2018",36.91,37.97,31.43,32.79,586657984,3654633472
"10-01-2018",38.13,39.27,34.68,36.95,862859008,3774735616
"09-01-2018",34.09,39.05,31.76,38.32,808371008,3374259968
"08-01-2018",41.12,44.41,29.53,34.19,798928000,4069113856
"07-01-2018",38.44,42.44,38.42,40.79,423276000,3802870016
"06-01-2018",36.31,38.99,35.9,38.42,362468992,3591716352
"05-01-2018",36.17,38.28,35.9,36.2,517583008,3576724224
"04-01-2018",34.44,39.35,32.31,36.32,1733939968,3404930048
"03-01-2018",34.91,35.51,32.84,34.86,910507008,3450395136
"02-01-2018",34.46,38.03,34.05,34.92,615984000,3405132032
"01-01-2018",28.05,37.03,27.32,34.17,870412992,2770759936
"31-12-2017",26.74,28.43,26.64,28.0,169331008,2640597248
"30-12-2017",30.04,30.04,26.25,26.92,241644992,2965898240
"29-12-2017",29.65,30.67,28.16,30.03,239663008,2926404864
"28-12-2017",32.16,32.24,28.28,29.53,307104000,3173775616
"27-12-2017",32.83,33.22,31.26,32.14,217743008,3239133440
"26-12-2017",32.46,33.99,31.97,32.9,317646016,3201840128
"25-12-2017",30.91,32.44,30.69,32.35,258235008,3047860736
"24-12-2017",33.0,33.0,28.22,30.78,316552992,3253906176
"23-12-2017",31.54,35.14,31.13,32.72,385223008,3109179904
"22-12-2017",42.42,42.68,23.76,30.96,817384000,4180299776
"21-12-2017",43.86,47.77,39.69,42.1,825238976,4321052672
"20-12-2017",40.37,44.86,37.32,44.05,920793024,3976415232
"19-12-2017",39.41,46.24,38.61,40.27,931713024,3880295680
"18-12-2017",34.85,42.4,32.53,39.4,1072099968,3431127552
"17-12-2017",34.78,36.41,34.2,34.79,428825984,3423524864
"16-12-2017",32.03,39.02,31.3,34.78,1104770048,3151405824
"15-12-2017",32.02,32.7,28.47,32.09,526729984,3150233344
"14-12-2017",29.64,34.07,29.61,31.96,632755008,2914577408
"13-12-2017",30.29,33.24,27.95,29.72,688510976,2978501376
"12-12-2017",27.75,33.39,27.42,30.32,819044992,2728370176
"11-12-2017",26.48,29.43,26.48,27.64,470359008,2602007808
"10-12-2017",29.22,29.22,24.2,26.51,463748000,2870388736
"09-12-2017",29.77,33.05,26.72,29.09,585616000,2923313664
"08-12-2017",26.89,30.05,25.45,30.05,581400000,2639942144
"07-12-2017",27.9,30.04,26.77,26.82,449012992,2738672640
"06-12-2017",30.49,30.51,27.31,27.86,407100000,2991888896
"05-12-2017",30.4,31.23,29.58,30.39,331676992,2981627904
"04-12-2017",30.44,30.88,29.62,30.4,274351008,2984907008
"03-12-2017",30.77,31.79,29.87,30.46,401675008,3016144640
"02-12-2017",31.18,32.66,29.81,30.8,605113024,3055414272
"01-12-2017",27.95,31.54,25.5,31.2,853734976,2737970688
"30-11-2017",26.01,29.44,22.59,28.19,968075008,2546532352
"29-11-2017",33.99,34.25,24.67,25.42,919393024,3326881280
"28-11-2017",25.74,34.85,25.6,33.98,1640679936,2519340288
"27-11-2017",22.16,26.55,21.7,25.75,718945024,2167623168
"26-11-2017",21.73,22.61,21.35,22.22,494332992,2124926208
"25-11-2017",21.33,22.75,20.21,21.71,370135008,2084820224
"24-11-2017",18.26,21.76,18.07,21.45,373044992,1785000960
"23-11-2017",18.02,18.77,17.77,18.23,186523008,1760668160
"22-11-2017",17.74,18.15,17.73,17.99,93779000,1732975744
"21-11-2017",18.4,18.47,17.28,17.8,186210000,1796379904
"20-11-2017",17.94,18.68,17.84,18.39,147752000,1750625664
"19-11-2017",17.73,18.07,17.58,17.92,110618000,1730454656
"18-11-2017",17.21,18.12,17.0,17.72,159452992,1679117568
"17-11-2017",16.77,17.58,16.76,17.24,150956992,1635504896
"16-11-2017",17.5,17.5,16.39,16.88,182720992,1706143744
"15-11-2017",17.84,17.92,17.21,17.55,149567008,1738581632
"14-11-2017",16.08,18.74,16.08,17.87,449737984,1566512256
"13-11-2017",15.31,16.66,14.47,16.11,350880000,1490893184
"12-11-2017",19.46,21.75,15.04,15.18,697452992,1894611840
