"Date","Open*","High","Low","Close**","Volume","Market Cap"
"07-08-2018",26.24,27.66,25.04,25.2,61221200,1705399017
"06-08-2018",27.49,28.38,25.86,26.22,55233900,1786970863
"05-08-2018",26.56,27.81,26.14,27.45,49751000,1726500139
"04-08-2018",28.14,28.88,26.32,26.71,57559000,1828954287
"03-08-2018",28.45,28.65,26.9,28.19,61311800,1849398203
"02-08-2018",29.93,30.17,28.13,28.53,54152700,1945645037
"01-08-2018",29.97,30.43,28.82,29.89,59706400,1948331137
"31-07-2018",32.22,32.26,29.55,30.06,69345600,2094438686
"30-07-2018",33.53,33.53,31.79,32.28,76035000,2179710026
"29-07-2018",34.03,34.32,33.36,33.6,71226496,2212047616
"28-07-2018",33.55,33.75,32.85,33.75,67771600,2180886528
"27-07-2018",33.18,33.95,32.34,33.47,77205696,2156979456
"26-07-2018",34.21,35.38,32.88,33.24,86474304,2223773440
"25-07-2018",33.75,35.07,33.55,34.18,92019400,2193548288
"24-07-2018",32.2,35.41,31.4,34.05,118100000,2093000064
"23-07-2018",33.25,34.47,32.19,32.19,81723000,2161250048
"22-07-2018",34.26,34.74,32.94,33.28,74153200,2226822144
"21-07-2018",33.33,35.06,32.53,34.31,85597904,2166723072
"20-07-2018",36.06,36.06,33.14,33.38,103809000,2343945472
"19-07-2018",37.56,37.93,35.7,36.09,99780304,2441191936
"18-07-2018",39.33,40.21,37.11,37.6,143288992,2556592896
"17-07-2018",36.89,39.97,35.81,39.32,136894000,2397772032
"16-07-2018",33.57,37.09,33.09,37.07,128169000,2182193152
"15-07-2018",32.48,33.96,32.2,33.41,86309504,2111258496
"14-07-2018",33.16,33.55,31.68,32.62,74716704,2155412992
"13-07-2018",31.96,33.91,31.96,33.23,127253000,2077718400
"12-07-2018",33.88,33.88,30.79,31.77,111093000,2201998592
"11-07-2018",33.46,34.56,32.23,33.91,98957504,2174958336
"10-07-2018",36.57,36.85,33.32,33.39,193408000,2377342464
"09-07-2018",39.1,39.3,36.71,36.78,164582000,2541675520
"08-07-2018",39.27,41.73,38.88,39.13,150560000,2552796928
"07-07-2018",37.74,39.34,36.45,39.34,88447504,2453152000
"06-07-2018",40.59,40.71,36.98,37.65,136135008,2638148352
"05-07-2018",40.49,42.84,39.47,40.74,190606000,2631654912
"04-07-2018",36.12,42.11,35.38,40.29,216351008,2348014336
"03-07-2018",36.02,38.24,35.58,36.1,150783008,2341416960
"02-07-2018",31.35,36.81,31.04,35.98,142578000,2037535488
"01-07-2018",30.81,31.61,29.76,31.33,72319000,2002454912
"30-06-2018",29.7,31.85,29.7,30.64,73997696,1930512896
"29-06-2018",28.36,30.11,27.26,29.64,64412600,1843705472
"28-06-2018",30.31,30.53,28.23,28.36,52412700,1970194304
"27-06-2018",30.45,30.58,29.61,30.32,53013200,1979392512
"26-06-2018",31.63,31.83,30.13,30.31,52380500,2056182912
"25-06-2018",31.17,32.58,30.75,31.71,58836700,2025796224
"24-06-2018",34.24,34.31,29.32,31.27,90829600,2225811968
"23-06-2018",33.09,34.78,33.06,34.27,53422000,2150573824
"22-06-2018",37.82,37.85,32.41,33.26,84102496,2458159360
"21-06-2018",38.98,39.69,37.45,37.84,70598704,2533984512
"20-06-2018",39.93,40.0,37.95,38.93,71498704,2595280384
"19-06-2018",39.63,41.01,39.18,39.94,75684096,2576095232
"18-06-2018",38.74,40.4,37.43,39.7,88125504,2517798400
"17-06-2018",38.57,39.57,38.0,38.76,64709800,2506903808
"16-06-2018",38.24,39.0,36.99,38.2,67913800,2485794304
"15-06-2018",40.85,40.94,38.2,38.26,68554496,2655200512
"14-06-2018",38.31,41.61,38.06,40.85,105352000,2489917184
"13-06-2018",41.5,41.81,37.25,38.15,98023200,2697688320
"12-06-2018",45.49,46.44,41.11,41.49,83302000,2956607488
"11-06-2018",45.56,45.92,43.26,45.6,85727200,2961513728
"10-06-2018",51.13,51.13,44.6,45.71,99954096,3323720192
"09-06-2018",52.56,53.45,51.09,51.09,72333200,3416087552
"08-06-2018",53.55,53.92,51.99,52.59,77989800,3480608256
"07-06-2018",54.01,54.99,53.18,53.82,78293600,3510462720
"06-06-2018",54.51,54.61,52.75,53.92,81572600,3543111424
"05-06-2018",53.5,54.95,52.09,54.45,92081000,3477658880
"04-06-2018",56.31,57.1,52.61,53.44,91888400,3660101376
"03-06-2018",56.65,57.8,55.85,56.42,90826096,3682143232
"02-06-2018",55.63,57.19,54.98,56.76,97926200,3615885312
"01-06-2018",53.2,56.09,52.95,55.45,102577000,3457785088
"31-05-2018",51.44,54.08,50.92,52.93,85826000,3343510016
"30-05-2018",52.36,53.31,50.53,51.54,82723104,3403155712
"29-05-2018",48.12,53.43,47.96,52.11,106526000,3127561472
"28-05-2018",52.86,53.06,47.96,48.26,92695200,3436200960
"27-05-2018",52.32,53.03,51.2,52.93,76785504,3400819968
"26-05-2018",52.74,54.32,51.55,52.26,84223296,3428003072
"25-05-2018",55.1,56.26,52.01,53.03,93827504,3581539072
"24-05-2018",52.36,55.12,50.68,54.76,107696000,3403298560
"23-05-2018",57.45,57.8,51.81,52.47,109642000,3734306048
"22-05-2018",62.41,62.5,57.1,57.38,95219600,4056541696
"21-05-2018",63.59,65.85,60.95,62.46,121919000,4133601792
"20-05-2018",59.23,63.77,58.75,63.51,89350200,3849997568
"19-05-2018",59.66,60.64,58.15,59.17,79662304,3877988096
"18-05-2018",57.72,60.28,56.99,59.68,94202000,3751855104
"17-05-2018",61.94,63.22,57.18,57.82,96606600,4025908736
"16-05-2018",63.06,63.37,59.88,61.85,99496200,4098809856
"15-05-2018",66.38,69.34,62.54,63.25,98810800,4314878976
"14-05-2018",67.82,69.23,63.19,66.46,130220000,4408478208
"13-05-2018",64.76,69.3,63.15,67.76,105992000,4209407488
"12-05-2018",63.45,67.61,59.07,64.76,125551000,4124451840
"11-05-2018",69.96,70.41,61.45,63.4,177496992,4547404800
"10-05-2018",76.32,76.97,70.18,70.18,126392000,4960569344
"09-05-2018",77.12,77.21,72.9,76.33,120422000,5013073408
"08-05-2018",79.57,81.08,76.03,77.08,126518000,5172050944
"07-05-2018",83.59,83.59,76.5,79.29,157183008,5433503744
"06-05-2018",84.3,87.94,80.72,83.56,177590000,5479816192
"05-05-2018",84.31,86.07,84.16,84.36,128178000,5480032768
