"Date","Open*","High","Low","Close**","Volume","Market Cap"
"07-08-2018",5.23,5.53,4.96,4.99,38301700,733880267
"06-08-2018",5.47,5.56,5.21,5.23,32603100,767393545
"05-08-2018",5.38,5.5,5.32,5.47,35870000,754047859
"04-08-2018",5.45,5.64,5.34,5.38,31551100,764963604
"03-08-2018",5.56,5.6,5.19,5.45,36740800,779591670
"02-08-2018",5.94,6.0,5.53,5.55,45873400,832622724
"01-08-2018",6.15,6.15,5.78,5.92,66545900,862184338
"31-07-2018",6.68,6.69,6.03,6.15,41831000,936847261
"30-07-2018",6.83,6.9,6.6,6.67,61047700,958560450
"29-07-2018",6.91,6.96,6.8,6.83,52491700,968648320
"28-07-2018",7.02,7.04,6.85,6.9,38823800,984090752
"27-07-2018",6.85,7.06,6.78,7.02,46417200,960509888
"26-07-2018",7.12,7.3,6.84,6.84,34841700,998865600
"25-07-2018",7.13,7.19,6.99,7.13,42619900,1000589248
"24-07-2018",6.81,7.22,6.73,7.17,55308600,954967360
"23-07-2018",7.15,7.32,6.79,6.79,29158200,1002185152
"22-07-2018",6.98,7.34,6.87,7.15,30473800,978337920
"21-07-2018",6.74,7.09,6.64,6.97,22341500,944712576
"20-07-2018",7.55,7.56,6.73,6.74,33970400,1059476864
"19-07-2018",7.88,8.06,7.51,7.57,65153200,1105802752
"18-07-2018",7.86,8.33,7.78,7.89,58329400,1101678080
"17-07-2018",7.46,7.89,7.23,7.86,41531200,1046888448
"16-07-2018",6.86,7.47,6.8,7.47,33432200,961913728
"15-07-2018",6.73,6.94,6.68,6.85,23081900,943781376
"14-07-2018",6.73,6.9,6.72,6.73,21307000,944453184
"13-07-2018",6.72,7.18,6.71,6.74,30547500,942903488
"12-07-2018",6.88,6.9,6.55,6.69,25113200,964233408
"11-07-2018",6.86,7.0,6.68,6.88,26385100,961608000
"10-07-2018",7.26,7.45,6.85,6.85,35271400,740572800
"09-07-2018",7.85,7.89,7.18,7.26,40761300,800708480
"08-07-2018",8.21,8.36,7.83,7.84,29905000,837550976
"07-07-2018",8.1,8.24,7.66,8.23,30547300,826725312
"06-07-2018",8.19,8.21,7.88,8.11,30249100,835962176
"05-07-2018",8.17,8.36,7.98,8.19,29959400,833866240
"04-07-2018",8.0,8.52,7.82,8.15,32650300,816601600
"03-07-2018",8.35,8.71,7.96,8.0,39613600,852330816
"02-07-2018",8.07,8.64,7.84,8.37,35895700,823508864
"01-07-2018",7.61,8.28,7.61,8.12,47072300,776735616
"30-06-2018",7.2,7.7,7.15,7.59,22759600,734376768
"29-06-2018",6.79,7.25,6.73,7.2,21350700,693072000
"28-06-2018",7.26,7.5,6.77,6.79,25485000,740930176
"27-06-2018",7.24,7.3,7.14,7.25,18861600,738588608
"26-06-2018",7.85,7.87,7.27,7.27,17106100,800680256
"25-06-2018",7.82,8.06,7.57,7.84,18410300,798137600
"24-06-2018",8.2,8.21,7.25,7.83,25100200,836733120
"23-06-2018",8.23,8.39,7.95,8.2,17019300,839566272
"22-06-2018",8.95,8.97,8.12,8.24,29074200,913136320
"21-06-2018",9.13,9.22,8.91,8.93,15787800,931202432
"20-06-2018",9.24,9.25,8.94,9.12,20301600,942457536
"19-06-2018",9.43,9.54,9.18,9.24,21339100,962530304
"18-06-2018",9.06,9.61,8.96,9.43,19742000,924594624
"17-06-2018",9.18,9.29,9.06,9.08,17789000,936484608
"16-06-2018",8.93,9.41,8.93,9.16,21213000,910909632
"15-06-2018",9.46,9.49,8.9,8.95,27561400,965107648
"14-06-2018",8.81,9.63,8.81,9.46,50523800,899048320
"13-06-2018",9.08,9.27,8.69,8.81,46390200,926721792
"12-06-2018",10.0,10.1,9.03,9.06,41821200,1020525440
"11-06-2018",9.49,9.99,9.31,9.99,35785400,968690048
"10-06-2018",10.73,10.73,9.37,9.48,42230200,1095385344
"09-06-2018",11.11,11.23,10.76,10.76,33837000,1133760256
"08-06-2018",11.44,11.5,11.0,11.1,37601400,1167172736
"07-06-2018",11.06,11.98,11.06,11.43,44687900,1128843520
"06-06-2018",11.33,11.36,10.8,11.07,48931100,1155725824
"05-06-2018",11.12,11.48,10.64,11.31,48334800,1134244352
"04-06-2018",11.79,12.01,10.92,11.1,57932500,1203373952
"03-06-2018",11.55,12.3,11.55,11.78,65306600,1178559616
"02-06-2018",10.81,11.83,10.71,11.55,79031200,1102802688
"01-06-2018",10.56,10.84,10.37,10.81,58000500,1077623808
"31-05-2018",10.31,10.89,10.29,10.55,50501700,1051795328
"30-05-2018",10.52,10.84,9.98,10.33,45997000,1073783680
"29-05-2018",9.64,10.75,9.56,10.52,45009000,983545536
"28-05-2018",10.42,10.59,9.61,9.64,36995300,1063432192
"27-05-2018",10.78,10.78,10.28,10.42,39393500,1100302208
"26-05-2018",10.71,11.16,10.55,10.78,35272400,1093208320
"25-05-2018",11.19,11.48,10.61,10.72,40454300,1141530240
"24-05-2018",10.63,11.34,10.22,11.15,47290900,1085015808
"23-05-2018",11.51,11.6,10.13,10.65,46023500,1174211584
"22-05-2018",12.57,12.91,11.47,11.53,27751100,1282713344
"21-05-2018",13.04,13.14,12.32,12.57,28183300,1330239744
"20-05-2018",12.52,13.24,12.41,13.02,37409600,1277437056
"19-05-2018",12.52,12.88,12.37,12.51,32444300,1277527936
"18-05-2018",12.38,12.78,12.11,12.52,38880800,1263024384
"17-05-2018",13.17,13.58,12.29,12.41,38815700,1343441920
"16-05-2018",13.55,13.55,12.83,13.17,32027500,1382196480
"15-05-2018",14.24,14.48,13.52,13.57,32125800,1452840448
"14-05-2018",14.25,14.6,13.31,14.25,46665600,1454162176
"13-05-2018",13.72,14.65,13.43,14.28,39654500,1400342528
"12-05-2018",13.33,14.11,12.63,13.7,39982700,1360279552
"11-05-2018",15.3,15.3,13.16,13.37,58339000,1561135616
"10-05-2018",16.18,16.39,15.31,15.31,45211900,1651458176
"09-05-2018",16.04,16.68,15.39,16.18,48365400,1636777600
"08-05-2018",16.68,16.88,15.83,16.05,43030100,1702002304
"07-05-2018",16.92,16.96,15.79,16.61,51355400,1726467968
"06-05-2018",17.4,17.63,16.5,16.92,45342000,1775485824
"05-05-2018",17.8,17.91,17.36,17.39,55580400,1816628992
"04-05-2018",18.18,18.18,17.2,17.81,70046496,1855549696
"03-05-2018",17.24,18.71,17.11,18.22,134736992,1759152512
"02-05-2018",16.96,17.29,16.69,17.24,73425104,1730955392
"01-05-2018",16.99,17.08,16.07,16.99,58684400,1733212672
"30-04-2018",18.05,18.06,16.81,16.95,68967800,1841910656
"29-04-2018",18.08,18.46,17.14,18.09,93513696,1844695552
"28-04-2018",17.36,18.3,17.31,18.08,79047200,1771263104
"27-04-2018",18.17,19.02,17.41,17.41,143819008,1854269696
"26-04-2018",15.72,21.37,15.19,18.22,675097984,1604065920
"25-04-2018",18.05,18.05,14.87,15.59,122642000,1841679232
"24-04-2018",15.84,18.65,15.78,18.16,153864992,1616377728
"23-04-2018",15.19,15.94,15.16,15.85,58387200,1549987456
"22-04-2018",15.37,15.89,15.13,15.19,57141600,1567943808
"21-04-2018",16.27,16.27,14.48,15.4,91124800,1659942784
"20-04-2018",15.72,16.4,15.25,16.23,126297000,1603695488
"19-04-2018",15.02,15.96,14.91,15.73,125155000,1533032192
"18-04-2018",14.56,15.15,14.36,15.02,84420304,1486150272
"17-04-2018",15.36,15.69,14.21,14.24,151960000,1567255552
"16-04-2018",14.1,15.59,13.2,15.44,222730000,1439000192
"15-04-2018",13.88,14.36,13.82,14.1,68222200,1416296320
"14-04-2018",12.98,13.96,12.98,13.66,109430000,1324711296
"13-04-2018",12.04,16.06,11.65,12.67,349808992,1228498816
"12-04-2018",9.8,12.2,9.47,12.02,119743000,1000004480
"11-04-2018",9.24,9.82,9.24,9.82,37589500,942657792
"10-04-2018",9.1,9.3,8.9,9.25,28200500,928326080
"09-04-2018",9.58,9.82,8.92,9.1,29849700,977605568
"08-04-2018",9.39,9.66,9.24,9.56,22099000,958482560
"07-04-2018",9.29,9.61,9.11,9.39,31193800,948026688
"06-04-2018",8.88,9.51,8.75,9.32,63649300,905814592
"05-04-2018",8.24,9.64,8.1,8.94,86820000,841194560
"04-04-2018",9.5,9.5,8.19,8.25,29824900,969026688
"03-04-2018",8.79,9.78,8.71,9.52,38323300,897042944
"02-04-2018",8.12,9.39,8.07,8.75,48495000,828519168
"01-04-2018",8.23,8.42,7.52,8.09,24526400,839396480
"31-03-2018",8.28,8.73,8.16,8.23,21296300,845157824
"30-03-2018",8.43,8.67,8.0,8.28,31776100,860625152
"29-03-2018",9.73,9.8,8.35,8.46,34338700,993020032
"28-03-2018",9.75,10.24,9.68,9.73,20930600,994676096
"27-03-2018",10.33,10.38,9.38,9.77,23759900,1054596416
"26-03-2018",10.87,10.93,9.47,10.34,31909400,1108812800
"25-03-2018",11.03,11.15,10.66,10.88,21690300,1125301760
"24-03-2018",11.59,11.76,11.03,11.1,29693200,1182374400
"23-03-2018",11.53,11.53,10.59,11.5,30954000,1176996352
"22-03-2018",11.86,12.39,10.78,11.57,36755900,1210439936
"21-03-2018",12.15,12.65,11.56,11.86,33733200,1240033024
"20-03-2018",11.54,12.53,10.66,12.08,46839900,1177689728
"19-03-2018",10.52,11.45,10.06,11.45,42172600,1073394560
"18-03-2018",9.83,10.53,8.44,10.47,39837300,1002780096
"17-03-2018",11.22,11.26,9.82,9.86,30985800,1145242624
"16-03-2018",11.32,11.83,10.83,11.22,28698800,1155633792
"15-03-2018",11.7,11.73,10.34,11.31,44593200,1193948928
"14-03-2018",13.61,13.75,11.34,11.69,28942400,1388967168
"13-03-2018",13.74,14.14,12.98,13.75,24721000,1401835904
"12-03-2018",14.66,14.84,13.47,13.78,23439900,1496026240
"11-03-2018",13.41,14.98,12.85,14.68,30486600,1368721536
"10-03-2018",15.01,15.36,13.25,13.44,44982900,1531684224
"09-03-2018",13.72,15.11,11.75,15.02,59857400,1400493696
"08-03-2018",14.47,15.27,13.37,13.74,41855800,1476879872
"07-03-2018",15.87,16.46,13.71,14.5,52446000,1619227904
"06-03-2018",17.2,17.2,15.57,15.86,38911600,1755257472
"05-03-2018",17.96,18.08,17.16,17.22,39490400,1832476672
"04-03-2018",17.88,18.48,17.09,17.94,39416700,1824378240
"03-03-2018",18.52,19.02,17.72,17.9,49308100,1889884160
"02-03-2018",19.19,19.36,17.82,18.52,50691600,1958276864
"01-03-2018",18.61,19.95,18.46,19.21,67000600,1899330304
