"Date","Open*","High","Low","Close**","Volume","Market Cap"
"07-08-2018",6.42,6.51,6.04,6.07,120890000,570234862
"06-08-2018",6.47,6.69,6.36,6.44,209008000,574697590
"05-08-2018",6.25,6.52,6.17,6.45,98460100,555038098
"04-08-2018",6.36,6.53,6.15,6.25,179818000,564463783
"03-08-2018",6.46,6.46,6.01,6.33,130975000,573225417
"02-08-2018",6.85,7.02,6.45,6.47,133835000,608084712
"01-08-2018",6.93,6.94,6.6,6.84,170667000,615030891
"31-07-2018",7.45,7.47,6.84,6.94,154631000,661182396
"30-07-2018",7.75,7.76,7.22,7.47,128303000,687889363
"29-07-2018",7.78,7.82,7.66,7.76,156180000,690325440
"28-07-2018",7.87,7.92,7.66,7.74,268146000,697917440
"27-07-2018",7.79,7.99,7.62,7.87,196548000,691131904
"26-07-2018",8.11,8.27,7.72,7.8,155212000,719366272
"25-07-2018",8.02,8.24,7.9,8.1,219391008,711448512
"24-07-2018",7.81,8.2,7.67,8.19,219243008,692227840
"23-07-2018",7.82,8.21,7.77,7.8,189591008,693344128
"22-07-2018",7.81,8.25,7.7,7.83,151295008,692906112
"21-07-2018",7.8,7.98,7.57,7.85,207044000,691257792
"20-07-2018",8.43,8.43,7.75,7.78,142431008,747787648
"19-07-2018",8.6,8.82,8.31,8.4,195766000,762727616
"18-07-2018",8.83,9.14,8.53,8.64,205520000,783066368
"17-07-2018",8.38,8.99,8.1,8.86,204938000,743255168
"16-07-2018",7.83,8.42,7.77,8.4,189919008,694415168
"15-07-2018",7.66,7.99,7.59,7.82,106939000,678879360
"14-07-2018",7.66,7.79,7.49,7.74,85742496,679015040
"13-07-2018",7.52,7.91,7.52,7.66,93324600,667181824
"12-07-2018",7.92,8.0,7.45,7.61,103204000,702117440
"11-07-2018",7.84,8.02,7.72,7.92,94374800,695268096
"10-07-2018",8.63,8.65,7.85,7.88,120067000,765328192
"09-07-2018",8.97,9.05,8.61,8.62,117174000,795604416
"08-07-2018",9.33,9.4,8.96,9.01,117999000,827165440
"07-07-2018",9.05,9.51,8.87,9.34,145484992,802068992
"06-07-2018",8.77,9.06,8.51,9.06,127857000,777310272
"05-07-2018",8.99,9.2,8.58,8.81,125399000,797339648
"04-07-2018",8.91,9.32,8.68,8.97,128182000,789788096
"03-07-2018",9.16,9.41,8.85,8.91,131291000,812362048
"02-07-2018",8.63,9.29,8.4,9.18,141672000,764961984
"01-07-2018",8.58,8.95,8.37,8.69,131067000,760855040
"30-06-2018",8.11,8.72,8.11,8.57,286684000,719512512
"29-06-2018",7.97,8.23,7.72,8.11,85193504,706316608
"28-06-2018",8.83,8.9,7.85,7.98,78710600,783149952
"27-06-2018",8.31,9.31,8.22,8.85,124461000,736942528
"26-06-2018",8.37,9.18,8.13,8.31,145322000,742304896
"25-06-2018",8.24,8.54,7.95,8.47,80553800,730847168
"24-06-2018",9.0,9.04,7.66,8.28,81839400,798045696
"23-06-2018",9.02,9.17,8.68,8.95,75209296,799994176
"22-06-2018",10.29,10.39,8.87,9.03,84043504,912672704
"21-06-2018",10.45,10.73,10.25,10.32,85294304,926675584
"20-06-2018",10.7,10.74,10.11,10.45,113833000,949112896
"19-06-2018",10.8,10.84,10.48,10.69,181246000,957859904
"18-06-2018",10.61,10.94,10.31,10.77,160550000,940344832
"17-06-2018",10.77,10.83,10.57,10.63,156520000,954761216
"16-06-2018",10.63,10.85,10.52,10.78,102144000,942791744
"15-06-2018",11.18,11.19,10.61,10.7,103048000,991252928
"14-06-2018",10.67,11.3,10.48,11.18,113825000,946348800
"13-06-2018",11.29,11.4,10.32,10.65,113990000,1000944896
"12-06-2018",11.98,12.55,11.17,11.3,137156000,1062009536
"11-06-2018",11.6,12.04,11.44,11.98,117110000,1028276864
"10-06-2018",13.22,13.22,11.49,11.6,134438000,1172205312
"09-06-2018",13.41,13.62,13.22,13.22,115646000,1188811776
"08-06-2018",13.71,13.79,12.93,13.54,112317000,1215093376
"07-06-2018",13.77,14.0,13.61,13.69,116089000,1220906624
"06-06-2018",13.94,14.03,13.3,13.74,111312000,1235361152
"05-06-2018",13.72,14.05,13.31,13.9,125679000,1216318208
"04-06-2018",14.69,14.84,13.58,13.73,137690000,1302522368
"03-06-2018",14.69,14.92,14.61,14.71,138318000,1302477312
"02-06-2018",14.46,14.83,14.38,14.72,154167008,1281870208
"01-06-2018",13.36,14.5,13.29,14.47,152020000,1184144512
"31-05-2018",13.09,13.57,12.98,13.35,121813000,1160133888
"30-05-2018",13.18,13.52,12.85,13.08,122833000,1168114176
"29-05-2018",12.34,13.37,12.25,13.19,127041000,1093812096
"28-05-2018",13.31,13.46,12.31,12.41,123898000,1179213568
"27-05-2018",13.27,13.42,13.0,13.25,114514000,1175971072
"26-05-2018",13.32,13.69,13.13,13.23,110855000,1180024192
"25-05-2018",14.02,14.06,13.11,13.34,117740000,1242106112
"24-05-2018",13.37,14.27,12.84,14.0,142782000,1185197952
