"Date","Open*","High","Low","Close**","Volume","Market Cap"
"07-08-2018",0.029213,0.029981,0.027724,0.027866,116330000,1920730453
"06-08-2018",0.030379,0.031027,0.028905,0.029228,118348000,1997340276
"05-08-2018",0.028932,0.030642,0.028353,0.030329,124479000,1902215276
"04-08-2018",0.030597,0.031183,0.028626,0.028932,128197000,2011700692
"03-08-2018",0.031528,0.031659,0.029532,0.030602,154910000,2072909389
"02-08-2018",0.032677,0.033324,0.030994,0.031539,148160000,2148429148
"01-08-2018",0.033967,0.034035,0.031829,0.032643,140270000,2233258238
"31-07-2018",0.036498,0.036498,0.033552,0.033926,211254000,2399700475
"30-07-2018",0.039096,0.039422,0.035387,0.036452,254606000,2570501255
"29-07-2018",0.036788,0.040549,0.036739,0.039236,310647008,2418747904
"28-07-2018",0.036506,0.036868,0.035906,0.036782,183664000,2400187392
"27-07-2018",0.035937,0.037045,0.035212,0.036504,218420992,2362816000
"26-07-2018",0.037094,0.03851,0.035448,0.035996,190784992,2438880000
"25-07-2018",0.037799,0.038779,0.03629,0.037122,221752992,2485180160
"24-07-2018",0.03408,0.038875,0.032905,0.038107,323728992,2240702208
"23-07-2018",0.035094,0.036111,0.034042,0.034061,194284000,2307344384
"22-07-2018",0.035544,0.03634,0.035062,0.035123,189920992,2336918016
"21-07-2018",0.034935,0.036313,0.033992,0.035603,210056992,2296897024
"20-07-2018",0.037903,0.037903,0.034592,0.034906,225139008,2492024320
"19-07-2018",0.039456,0.039457,0.037503,0.037917,259096992,2594163968
"18-07-2018",0.039645,0.043077,0.03913,0.039661,284600992,2606610176
"17-07-2018",0.037455,0.040547,0.036155,0.039759,228396992,2462562816
"16-07-2018",0.034404,0.037521,0.034178,0.037521,211212000,2261985024
"15-07-2018",0.033421,0.034954,0.033167,0.034364,180511008,2197374208
"14-07-2018",0.033293,0.033829,0.032666,0.033429,170704000,2188964864
"13-07-2018",0.032278,0.034455,0.032278,0.03334,179488000,2122243840
"12-07-2018",0.03357,0.03357,0.031399,0.032228,162156992,2207151104
"11-07-2018",0.033524,0.034532,0.032878,0.033578,173036992,2204126720
"10-07-2018",0.035826,0.036056,0.032816,0.033588,132760000,2355485440
"09-07-2018",0.037103,0.037164,0.035782,0.035798,144390000,2439419392
"08-07-2018",0.03831,0.038588,0.037046,0.0371,104921000,2518797056
"07-07-2018",0.036927,0.038334,0.036107,0.038334,96368304,2427893760
"06-07-2018",0.037843,0.037926,0.0353,0.036975,119639000,2488125440
"05-07-2018",0.039199,0.039767,0.037406,0.037861,118836000,2577280000
"04-07-2018",0.038852,0.04024,0.037468,0.038895,132730000,2554425856
"03-07-2018",0.039529,0.040739,0.038495,0.038867,182019008,2598924288
"02-07-2018",0.037643,0.040467,0.037049,0.039529,174376992,2474969344
"01-07-2018",0.038439,0.038719,0.036936,0.037885,112292000,2527285248
"30-06-2018",0.037279,0.040002,0.037172,0.038423,182466000,2451030272
"29-06-2018",0.036566,0.037621,0.034706,0.037237,149928992,2404119296
"28-06-2018",0.039087,0.039706,0.036344,0.036665,104241000,2569910784
"27-06-2018",0.038187,0.03969,0.037685,0.038987,99853600,2510688512
"26-06-2018",0.042402,0.042449,0.038262,0.038262,93775000,2787858688
"25-06-2018",0.042391,0.043504,0.041215,0.042349,146474000,2787147264
"24-06-2018",0.044196,0.044338,0.038552,0.04246,235740000,2905825792
"23-06-2018",0.043278,0.044721,0.042531,0.044179,151474000,2845459712
"22-06-2018",0.048611,0.048933,0.042247,0.043136,242306000,3196049408
"21-06-2018",0.049206,0.050181,0.04748,0.04862,214723008,3235201792
"20-06-2018",0.049581,0.049645,0.045133,0.049394,400321984,3259829760
"19-06-2018",0.045178,0.051107,0.044808,0.049503,360852000,2970361856
"18-06-2018",0.042569,0.045678,0.041498,0.045096,173063008,2798865408
"17-06-2018",0.043163,0.043605,0.042558,0.042648,114357000,2837894400
"16-06-2018",0.042799,0.043685,0.041809,0.043215,137208000,2813937408
