"Date","Open*","High","Low","Close**","Volume","Market Cap"
"07-08-2018",0.999416,1.03,0.995265,1.0,2942000000,2435715878
"06-08-2018",1.0,1.0,0.998169,1.0,2336390000,2441614795
"05-08-2018",0.997972,1.0,0.996254,0.999347,2204100000,2432197417
"04-08-2018",1.0,1.0,0.993336,0.998505,2526060000,2437593282
"03-08-2018",1.0,1.0,0.995755,0.999095,2843800000,2420488021
"02-08-2018",0.998746,1.0,0.995199,1.0,2539460000,2394134850
"01-08-2018",0.999215,1.0,0.994754,0.999409,3059190000,2460207729
"31-07-2018",0.999708,1.01,0.99534,0.999507,3253100000,2506409448
"30-07-2018",0.999317,1.01,0.993987,0.99891,4311410000,2505427945
"29-07-2018",0.996403,1.0,0.995105,0.998919,2404489984,2498121984
"28-07-2018",0.995606,1.0,0.995606,0.997887,2298899968,2496123904
"27-07-2018",0.999553,1.0,0.991179,0.997118,3092310016,2506019840
"26-07-2018",0.99674,1.0,0.992867,0.997951,2894500096,2498967040
"25-07-2018",0.992372,1.0,0.985008,0.998791,3514560000,2488015872
"24-07-2018",0.997918,1.0,0.99339,0.996505,4417310208,2601712384
"23-07-2018",1.0,1.0,0.991952,0.997496,2808819968,2659345920
"22-07-2018",1.0,1.01,0.994756,0.999843,2209939968,2660381952
"21-07-2018",1.0,1.0,0.995731,1.0,2164900096,2660594688
"20-07-2018",0.998921,1.01,0.994279,1.0,3072349952,2704219392
"19-07-2018",1.0,1.0,0.993331,0.998088,3188349952,2709333248
"18-07-2018",0.999476,1.01,0.993404,1.0,4082030080,2705721856
"17-07-2018",1.0,1.01,0.979782,1.0,3620499968,2713393920
"16-07-2018",0.998966,1.0,0.988297,0.999139,2864659968,2704340992
"15-07-2018",1.0,1.0,0.996664,0.998352,1919559936,2713583360
"14-07-2018",1.0,1.01,0.998031,1.0,1620770048,2713231360
"13-07-2018",0.999377,1.01,0.995791,1.0,2279970048,2705453824
"12-07-2018",1.0,1.01,0.994467,0.99907,2404160000,2613084672
"11-07-2018",1.0,1.01,0.998898,1.0,2524790016,2609512960
"10-07-2018",1.01,1.01,0.997819,1.0,2974149888,2626198528
"09-07-2018",1.0,1.01,1.0,1.01,2358560000,2619133440
"08-07-2018",1.0,1.01,1.0,1.0,2142080000,2619159040
"07-07-2018",1.0,1.01,0.989028,1.01,2134790016,2611572480
"06-07-2018",1.01,1.01,0.998692,1.0,2460250112,2726117376
"05-07-2018",1.0,1.01,0.999482,1.01,3606159872,2710307840
"04-07-2018",0.998857,1.0,0.993437,0.999195,2638139904,2704046080
"03-07-2018",0.997445,1.0,0.995343,1.0,2786769920,2700223488
"02-07-2018",0.999402,1.0,0.993193,0.998859,2787729920,2705521408
"01-07-2018",0.997323,1.01,0.997016,0.998821,3653040128,2699893248
"30-06-2018",1.0,1.01,0.992682,0.999192,2540620032,2715288832
"29-06-2018",0.996047,1.01,0.990261,1.0,2482319872,2696439040
"28-06-2018",0.998823,1.0,0.989789,0.997193,2331049984,2703953152
"27-06-2018",1.0,1.01,0.981484,0.997935,2055360000,2713609216
"26-06-2018",0.998834,1.01,0.990512,1.0,2025110016,2703983616
"25-06-2018",1.0,1.01,0.984719,1.0,3956019968,2619836928
"24-06-2018",0.998875,1.02,0.971736,1.01,3952620032,2604208384
"23-06-2018",1.0,1.01,0.990621,1.0,2500859904,2610703616
"22-06-2018",1.0,1.03,0.990974,1.0,3747810048,2610382848
"21-06-2018",1.0,1.01,0.994075,1.0,2017639936,2608547072
"20-06-2018",1.0,1.01,0.994434,0.998829,2215259904,2611605760
"19-06-2018",1.0,1.01,0.994846,1.0,2253370112,2616600576
"18-06-2018",1.0,1.01,0.991164,1.0,2073910016,2615990784
"17-06-2018",1.0,1.01,0.998453,1.01,1548390016,2619828992
