"Date","Open*","High","Low","Close**","Volume","Market Cap"
"02-08-2018",1.98,2.04,1.74,1.74,2766930,1099704127
"01-08-2018",2.15,2.18,1.91,1.99,2968410,1190999644
"31-07-2018",2.51,2.53,2.14,2.26,3040250,1390971919
"30-07-2018",2.62,2.62,2.32,2.5,2409170,1454267892
"29-07-2018",2.53,2.67,2.53,2.62,2319030,1402040704
"28-07-2018",2.49,2.58,2.45,2.53,2312140,1380302464
"27-07-2018",2.27,2.59,2.27,2.49,5604580,1258723968
"26-07-2018",2.0,2.67,1.98,2.26,8576620,1109122432
"25-07-2018",1.94,2.07,1.93,2.0,10685600,1074978944
"24-07-2018",1.86,1.96,1.84,1.96,10528400,1031731904
"23-07-2018",1.79,1.86,1.79,1.86,9555060,993462656
"22-07-2018",1.87,1.91,1.76,1.79,19931500,1034571200
"21-07-2018",1.68,1.9,1.67,1.86,39101400,929068864
"20-07-2018",1.8,1.8,1.59,1.68,43519500,998780800
"19-07-2018",1.92,1.96,1.78,1.81,38882500,1066662720
"18-07-2018",1.99,2.08,1.84,1.92,40816800,1105442048
"17-07-2018",1.93,2.07,1.81,1.99,34425200,1071265408
"16-07-2018",1.92,1.94,1.7,1.93,55125000,1064477760
"15-07-2018",1.89,1.97,1.84,1.92,23693900,1047153792
"14-07-2018",2.09,2.11,1.8,1.89,33752000,1159809664
"13-07-2018",2.09,2.15,2.07,2.09,42996300,1158539776
"12-07-2018",2.23,2.23,2.05,2.09,40734900,1234157568
"11-07-2018",2.22,2.28,2.13,2.22,44389200,1234844928
"10-07-2018",2.42,2.44,2.21,2.24,72414096,1337902336
"09-07-2018",2.51,2.53,2.43,2.43,54712700,1387343488
"08-07-2018",2.57,2.65,2.51,2.52,47942300,1417364736
"07-07-2018",2.54,2.56,2.43,2.56,46709500,1401230336
"06-07-2018",2.52,2.55,2.4,2.53,47279700,1393676672
"05-07-2018",2.68,2.73,2.45,2.52,50234000,1480764416
"04-07-2018",2.64,2.81,2.59,2.67,50224600,1459958656
"03-07-2018",2.75,2.88,2.64,2.65,60876700,1519332352
"02-07-2018",2.6,2.79,2.53,2.75,58935100,1434263552
"01-07-2018",2.63,2.68,2.55,2.61,53995900,1451253504
"30-06-2018",2.58,2.7,2.58,2.63,58833100,1423107968
"29-06-2018",2.38,2.61,2.36,2.57,54110900,1303464576
"28-06-2018",2.64,2.66,2.36,2.38,49549300,1447122944
"27-06-2018",2.5,2.66,2.47,2.64,51586300,1367756032
"26-06-2018",2.73,2.74,2.5,2.5,47599600,1492576000
"25-06-2018",2.46,2.75,2.46,2.72,57362200,1348254080
"24-06-2018",2.79,2.8,2.25,2.47,41860900,1528732288
"23-06-2018",2.78,2.87,2.73,2.79,48128100,1520196096
"22-06-2018",3.17,3.19,2.7,2.77,59502500,1734613760
"21-06-2018",3.15,3.23,3.14,3.16,58908500,1726492288
"20-06-2018",3.2,3.21,3.04,3.15,59178400,1750320896
"19-06-2018",3.19,3.31,3.16,3.19,71522496,1744675584
"18-06-2018",3.02,3.23,2.97,3.18,104730000,1653864576
"17-06-2018",2.95,3.16,2.95,3.02,107061000,1617756032
"16-06-2018",2.86,2.97,2.84,2.95,94962200,1564656512
"15-06-2018",3.0,3.03,2.84,2.86,94385600,1641522944
"14-06-2018",2.83,3.06,2.73,3.01,104102000,1547165696
"13-06-2018",3.06,3.07,2.68,2.82,83544200,1671765248
"12-06-2018",3.41,3.41,3.03,3.04,107346000,1867035392
"11-06-2018",3.38,3.42,3.1,3.41,109577000,1846720896
"10-06-2018",3.88,3.88,3.26,3.37,123682000,2122512128
"09-06-2018",4.03,4.06,3.87,3.87,122246000,2127707776
"08-06-2018",4.12,4.17,3.71,4.02,108121000,2167771904
"07-06-2018",4.22,4.27,4.05,4.14,126478000,2219542272
"06-06-2018",4.1,4.88,3.99,4.14,120559000,2154239488
"05-06-2018",3.89,4.15,3.8,4.09,83761904,2047091328
"04-06-2018",4.06,4.17,3.83,3.89,92839696,2135814400
"03-06-2018",3.7,4.09,3.62,4.09,93253296,1944655104
"02-06-2018",3.44,3.79,3.41,3.71,71906000,1811974016
"01-06-2018",3.46,3.47,3.35,3.45,65178200,1818468992
"31-05-2018",3.38,3.53,3.32,3.46,67932800,1779049088
"30-05-2018",3.49,3.57,3.25,3.38,64795600,1837905152
"29-05-2018",3.13,3.52,3.04,3.49,58926800,1645203712
"28-05-2018",3.48,3.55,3.09,3.1,59873300,1829968896
"27-05-2018",3.55,3.55,3.43,3.48,59583000,1865261824
"26-05-2018",3.59,3.69,3.49,3.54,59082100,1886379904
"25-05-2018",3.79,3.81,3.51,3.6,65838800,1993410816
"24-05-2018",3.51,3.79,3.4,3.77,66549500,1847664384
"23-05-2018",3.96,4.05,3.44,3.53,74198704,2083480704
"22-05-2018",4.4,4.46,3.95,3.97,72272496,2316937728
"21-05-2018",4.51,4.59,4.32,4.45,83557504,2369988096
"20-05-2018",4.31,4.56,4.26,4.49,79209696,2266349824
"19-05-2018",4.41,4.47,4.27,4.31,74143296,2317959424
"18-05-2018",4.11,4.57,4.02,4.41,90050400,2160984832
"17-05-2018",4.6,4.73,4.08,4.1,87684600,2420436224
"16-05-2018",4.72,4.78,4.42,4.58,95043600,2483440384
"15-05-2018",5.12,5.22,4.71,4.77,113053000,2695788288
"14-05-2018",4.81,5.2,4.49,5.09,74510000,2531439616
"13-05-2018",4.55,4.88,4.47,4.83,17677500,2392746496
"12-05-2018",4.49,4.75,4.12,4.55,74892400,2359817728
"11-05-2018",4.95,5.14,4.39,4.49,105908000,2605547264
"10-05-2018",4.98,5.46,4.96,4.97,134028000,2618842368
"09-05-2018",4.94,5.16,4.71,4.98,97860800,2600239616
"08-05-2018",5.01,5.33,4.72,4.96,106443000,2634981120
