"Date","Open*","High","Low","Close**","Volume","Market Cap"
"07-08-2018",0.141765,0.14532,0.135528,0.135605,8261620,1275887668
"06-08-2018",0.146828,0.148314,0.140351,0.141726,8035690,1321455985
"05-08-2018",0.145062,0.147467,0.14308,0.146821,6728400,1305558666
"04-08-2018",0.151436,0.153444,0.142764,0.145128,9886410,1362924948
"03-08-2018",0.153542,0.153542,0.14717,0.151513,19982400,1381875962
"02-08-2018",0.15999,0.162957,0.153122,0.153436,17144800,1439913064
"01-08-2018",0.162754,0.162754,0.155134,0.159747,9670310,1464790150
"31-07-2018",0.171842,0.171842,0.160455,0.162639,12578900,1546577275
"30-07-2018",0.176807,0.176921,0.168255,0.172133,11081100,1591263011
"29-07-2018",0.179265,0.179521,0.175417,0.176913,30564100,1613385088
"28-07-2018",0.177881,0.178674,0.173859,0.178612,31418800,1600929024
"27-07-2018",0.177101,0.179304,0.170321,0.177132,12345200,1593908992
"26-07-2018",0.181097,0.185887,0.174981,0.177147,11039800,1629873024
"25-07-2018",0.179053,0.184066,0.176737,0.181259,12801100,1611476992
"24-07-2018",0.174933,0.181132,0.170505,0.180833,14058000,1574397056
"23-07-2018",0.170123,0.189925,0.170086,0.174577,18119400,1531106944
"22-07-2018",0.170831,0.175067,0.168268,0.170339,8241640,1537478912
"21-07-2018",0.169682,0.172738,0.164968,0.171085,8850900,1527137920
"20-07-2018",0.187064,0.187064,0.16825,0.169545,12371200,1683576064
"19-07-2018",0.18846,0.193938,0.183009,0.187322,15740300,1696140032
"18-07-2018",0.185545,0.199646,0.183832,0.188854,21234100,1669905024
"17-07-2018",0.174385,0.189474,0.17312,0.185826,15388400,1569464960
"16-07-2018",0.162637,0.174949,0.161699,0.174949,11026100,1463732992
"15-07-2018",0.158563,0.164663,0.158165,0.162517,6539140,1427067008
"14-07-2018",0.158762,0.159883,0.158075,0.158474,5027250,1428857984
"13-07-2018",0.156921,0.161753,0.156921,0.159039,7910070,1412289024
"12-07-2018",0.167478,0.167933,0.15368,0.156884,8675400,1507302016
"11-07-2018",0.16377,0.168092,0.161329,0.16765,8679950,1473929984
"10-07-2018",0.17939,0.180524,0.160648,0.163497,12167900,1614509952
"09-07-2018",0.184644,0.184644,0.179831,0.179899,7737650,1661795968
"08-07-2018",0.18895,0.190688,0.184091,0.184652,7860200,1700550016
"07-07-2018",0.191666,0.191666,0.180126,0.18946,9621390,1724994048
"06-07-2018",0.190586,0.195622,0.176075,0.191676,23501300,1715273984
"05-07-2018",0.18907,0.195229,0.186852,0.190328,16568900,1701629952
"04-07-2018",0.18771,0.197271,0.181511,0.189082,22480300,1689390080
