"Date","Open*","High","Low","Close**","Volume","Market Cap"
"07-08-2018",0.234099,0.245397,0.228993,0.230672,64467600,4394096977
"06-08-2018",0.245017,0.248388,0.232036,0.234705,52688700,4599032137
"05-08-2018",0.241105,0.246923,0.236088,0.244218,50833600,4525606756
"04-08-2018",0.257761,0.261043,0.236501,0.240724,62650500,4838248258
"03-08-2018",0.261763,0.268918,0.246723,0.258956,78914000,4913366300
"02-08-2018",0.276901,0.2814,0.261192,0.261192,64773900,5197495900
"01-08-2018",0.278127,0.282404,0.265441,0.276268,78075400,5220519698
"31-07-2018",0.295472,0.295472,0.267827,0.278009,90072600,5545993802
"30-07-2018",0.308645,0.308645,0.281066,0.295923,87990000,5792474107
"29-07-2018",0.316401,0.318472,0.305141,0.308399,69073696,5938034176
"28-07-2018",0.317788,0.323001,0.31102,0.315229,72393904,5964064768
"27-07-2018",0.308283,0.322608,0.296822,0.316882,109249000,5785659904
"26-07-2018",0.332303,0.348363,0.29846,0.309552,173806000,6236434432
"25-07-2018",0.297336,0.348664,0.294358,0.331706,180428000,5580193792
"24-07-2018",0.284922,0.304381,0.280882,0.301456,107505000,5347122688
"23-07-2018",0.283119,0.29884,0.281608,0.284384,91948800,5313219072
"22-07-2018",0.290739,0.30446,0.281031,0.283534,98754600,5456221696
"21-07-2018",0.27038,0.294494,0.259513,0.292259,103169000,5074149376
"20-07-2018",0.302421,0.303164,0.267198,0.271492,132780000,5675430912
"19-07-2018",0.296818,0.316271,0.280489,0.302513,190768000,5570264576
"18-07-2018",0.253249,0.318009,0.251712,0.2984,238660000,4752605184
"17-07-2018",0.238004,0.253499,0.228724,0.252967,60804000,4466420736
"16-07-2018",0.219478,0.237928,0.21746,0.237928,51377800,4118748160
"15-07-2018",0.208031,0.222303,0.205996,0.219871,51388000,3903932672
"14-07-2018",0.203789,0.211421,0.197084,0.207877,43684700,3824326656
"13-07-2018",0.185986,0.204272,0.183816,0.204272,49954700,3490224384
"12-07-2018",0.190298,0.19043,0.179743,0.185719,35633800,3571131648
"11-07-2018",0.191825,0.194245,0.18468,0.189504,33530700,3599776256
"10-07-2018",0.206595,0.207311,0.191603,0.191889,36923400,3876864000
"09-07-2018",0.210637,0.213485,0.206826,0.207929,38649000,3952699392
"08-07-2018",0.208953,0.216208,0.207633,0.209783,40958600,3921098240
"07-07-2018",0.206104,0.209379,0.200413,0.20845,36238600,3867635456
"06-07-2018",0.203001,0.209693,0.198991,0.206381,37627900,3808481792
"05-07-2018",0.210213,0.214188,0.199528,0.202978,37009800,3943779328
"04-07-2018",0.205776,0.216548,0.203362,0.209735,33301500,3860536832
"03-07-2018",0.211672,0.218992,0.204606,0.206315,49012200,3971070464
"02-07-2018",0.200196,0.21382,0.192646,0.213151,49362900,3755764736
"01-07-2018",0.19285,0.20131,0.190414,0.198573,41380400,3617950464
"30-06-2018",0.186915,0.199292,0.186915,0.193425,47083800,3506607360
"29-06-2018",0.179309,0.187823,0.173148,0.18671,39542800,3363897856
"28-06-2018",0.18875,0.192287,0.177071,0.178951,32294900,3540995584
"27-06-2018",0.184523,0.193435,0.183107,0.189633,34514300,3461683456
"26-06-2018",0.196489,0.197847,0.184877,0.186484,31190300,3686074112
"25-06-2018",0.193652,0.200452,0.188813,0.197753,38729400,3632841472
"24-06-2018",0.203188,0.203222,0.178151,0.193633,43348500,3811720192
"23-06-2018",0.20367,0.206931,0.197436,0.203515,33872100,3820756224
"22-06-2018",0.227657,0.228462,0.198004,0.203407,41435400,4270713088
"21-06-2018",0.232437,0.236066,0.226508,0.227997,38175500,4325445120
"20-06-2018",0.236379,0.23817,0.227794,0.232188,43000600,4398738944
"19-06-2018",0.233515,0.239484,0.232644,0.235309,34048000,4345316352
"18-06-2018",0.231517,0.240065,0.225079,0.234371,36372000,4307451904
"17-06-2018",0.233146,0.235942,0.230298,0.232105,31223300,4337746944
"16-06-2018",0.232527,0.235072,0.227153,0.234041,34627700,4326187520
"15-06-2018",0.241695,0.242083,0.232559,0.234242,37531000,4496692736
"14-06-2018",0.22189,0.243708,0.219758,0.242426,53521800,4128142336
"13-06-2018",0.232297,0.23392,0.212596,0.221691,48479300,4321704960
"12-06-2018",0.255286,0.255565,0.228748,0.231689,47126900,4749254144
"11-06-2018",0.247103,0.256482,0.241464,0.256482,47904600,4596962816
"10-06-2018",0.282765,0.282765,0.242728,0.247658,54768500,5260363264
"09-06-2018",0.287071,0.29324,0.281894,0.281894,44872900,5340420608
"08-06-2018",0.293776,0.296246,0.285597,0.287963,47014400,5465057280
"07-06-2018",0.297974,0.305812,0.291841,0.294206,49336800,5535090688
"06-06-2018",0.293325,0.299955,0.2895,0.298269,51165000,5450076672
"05-06-2018",0.292134,0.29798,0.282434,0.294313,48728900,5427786752
"04-06-2018",0.304636,0.309088,0.288416,0.292158,56371200,5659987968
"03-06-2018",0.298581,0.309325,0.298349,0.302912,64563800,5547455488
"02-06-2018",0.290961,0.303062,0.28985,0.298413,58244800,5405838336
"01-06-2018",0.296535,0.299187,0.283216,0.290022,62207300,5509345792
"31-05-2018",0.278473,0.302591,0.273827,0.296652,78378600,5173719552
"30-05-2018",0.283893,0.295864,0.271554,0.277747,59599500,5274342912
"29-05-2018",0.253952,0.283321,0.249187,0.282845,62185300,4717982208
"28-05-2018",0.276329,0.27894,0.252205,0.253582,48667900,5133650432
"27-05-2018",0.284194,0.284375,0.274538,0.276376,45604600,5279759872
"26-05-2018",0.288601,0.29488,0.283048,0.284695,40772900,5361604096
"25-05-2018",0.292986,0.298521,0.283877,0.288069,45218800,5443048960
"24-05-2018",0.279751,0.29644,0.276007,0.291338,45262500,5197136896
"23-05-2018",0.300583,0.301912,0.272845,0.280355,39564300,5584094720
"22-05-2018",0.318612,0.321454,0.301084,0.301084,31944800,5918916608
"21-05-2018",0.33296,0.33342,0.315671,0.318115,27528600,6185438208
"20-05-2018",0.317749,0.334381,0.315875,0.33281,30586700,5902848000
"19-05-2018",0.319639,0.329105,0.312646,0.317234,23504200,5937948672
"18-05-2018",0.313269,0.319522,0.306723,0.319488,31108600,5819581952
"17-05-2018",0.335431,0.350488,0.310994,0.313497,31796700,6231254016
"16-05-2018",0.346798,0.347675,0.323518,0.334677,43623300,6442397696
"15-05-2018",0.369699,0.373292,0.348445,0.348445,39801700,6867680768
"14-05-2018",0.376304,0.383316,0.350513,0.36968,58938400,6990348288
"13-05-2018",0.359814,0.381345,0.357971,0.375852,73407904,6684007424
"12-05-2018",0.314162,0.364699,0.304241,0.359937,93267504,5835958784
"11-05-2018",0.353429,0.355498,0.3008,0.314252,80168200,6565357568
"10-05-2018",0.377714,0.386574,0.353962,0.353962,39548400,7016459264
